longitude,latitude,altitude,distance_from_boundarycentre
73.56866,18.865864,-32.9,3515.1
73.56864,18.86584,-32.87,3516.2
73.56862,18.865818,-32.83,3516.9
73.5686,18.865795,-29.99,3518.0
73.56858,18.86577,-27.12,3518.8
73.568565,18.865744,-27.03,3520.3
73.56854,18.86572,-26.95,3520.9
73.56853,18.865696,-26.86,3522.2
73.568504,18.865673,-26.78,3522.9
73.56849,18.865648,-26.67,3524.2
73.56847,18.865625,-26.52,3524.9
73.56845,18.8656,-26.29,3526.2
73.56843,18.86558,-23.47,3526.7
73.568405,18.865555,-23.44,3527.5
73.56839,18.865532,-26.09,3528.7
73.56837,18.865509,-26.04,3529.4
73.56835,18.865484,-26.01,3530.7
73.56834,18.86546,-23.29,3532.0
73.56833,18.865435,-20.57,3533.8
73.56831,18.86541,-20.64,3535.2
73.568306,18.865383,-20.8,3537.1
73.56829,18.865358,-19.85,3538.5
73.56828,18.865332,-22.66,3540.4
73.568275,18.865303,-25.49,3542.6
73.56826,18.865276,-25.65,3544.1
73.56825,18.86525,-25.81,3546.1
73.568245,18.865223,-25.95,3548.1
73.56824,18.865196,-28.8,3550.0
73.56822,18.86517,-31.65,3551.6
73.568214,18.865145,-31.75,3553.4
73.56821,18.865118,-31.86,3555.4
73.5682,18.865091,-33.13,3557.4
73.56819,18.865067,-33.21,3559.2
73.56818,18.86504,-33.28,3560.7
73.56817,18.865013,-33.3,3562.7
73.56816,18.864986,-33.33,3564.7
73.56815,18.864962,-33.37,3566.5
73.568146,18.864937,-33.43,3568.3
73.56814,18.86491,-33.49,3570.3
73.56812,18.864883,-33.54,3571.9
73.568115,18.864859,-33.48,3573.7
73.56811,18.864834,-33.41,3575.5
73.5681,18.86481,-33.41,3577.2
73.568085,18.864788,-33.38,3578.4
73.56808,18.864767,-33.37,3579.9
73.56806,18.864746,-33.37,3580.9
73.568054,18.864725,-33.38,3582.4
73.56804,18.864706,-33.52,3583.3
73.56802,18.864687,-33.65,3584.1
73.56801,18.86467,-33.79,3584.8
73.56799,18.864655,-34.06,3585.3
73.56798,18.86464,-34.31,3585.8
73.56545,18.876781,-22.79,2376.3
73.56547,18.876759,-25.02,2379.2
73.56549,18.876736,-24.98,2382.7
73.56551,18.876715,-24.94,2386.1
73.56554,18.876692,-24.92,2389.6
73.56556,18.876673,-27.64,2392.8
73.56558,18.876652,-30.41,2396.2
73.565605,18.876633,-30.45,2399.4
73.56563,18.876614,-30.49,2402.6
73.56565,18.87659,-30.52,2406.1
73.565674,18.876568,-27.62,2409.6
73.5657,18.876547,-24.79,2412.9
73.56572,18.876524,-21.99,2416.4
73.56574,18.876503,-22.08,2419.8
73.565765,18.87648,-22.16,2423.3
73.56579,18.87646,-19.34,2426.6
73.56582,18.876438,-16.48,2430.6
73.56584,18.876415,-13.66,2434.1
73.565865,18.876394,-13.71,2437.4
73.56589,18.876371,-13.76,2440.9
73.56592,18.87635,-16.74,2444.8
73.56594,18.87633,-16.72,2448.2
73.56596,18.876307,-16.71,2451.7
73.56599,18.876286,-13.81,2455.0
73.56602,18.876263,-10.93,2459.1
73.56604,18.87624,-13.79,2462.6
73.56606,18.876217,-16.66,2466.1
73.566086,18.876192,-19.66,2469.8
73.56611,18.87617,-16.68,2473.3
73.56613,18.876144,-16.73,2476.9
73.566154,18.87612,-13.82,2480.5
73.56618,18.876095,-16.7,2484.2
73.5662,18.87607,-19.6,2487.8
73.56622,18.876045,-22.41,2491.5
73.566246,18.87602,-22.39,2495.1
73.56627,18.876,-19.52,2498.5
73.56629,18.875978,-16.65,2501.8
73.566315,18.875956,-16.56,2505.3
